Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version,AHNAK_mut,AKAP9_mut,APC_mut,ARFGEF2_mut,ARID1A_mut,ARID1B_mut,ARID4B_mut,ASH1L_mut,ASPM_mut,ASXL2_mut,ATM_mut,ATR_mut,BAP1_mut,BNC2_mut,BRAF_mut,BRCA1_mut,BRCA2_mut,CDH1_mut,CHD4_mut,CHEK2_mut,CLSPN_mut,CTCF_mut,CUX1_mut,DHX15_mut,EIF4A2_mut,EP300_mut,FAT1_mut,FLT3_mut,FTSJD1_mut,GATA3_mut,KALRN_mut,KDM5C_mut,KDM6A_mut,KRAS_mut,LARP4B_mut,LPHN2_mut,MACF1_mut,MAP2K4_mut,MAP3K1_mut,MAX_mut,MECOM_mut,MED23_mut,MGA_mut,MLL3_mut,MLLT4_mut,MLL_mut,MYH9_mut,NF1_mut,NF2_mut,NSD1_mut,NUP98_mut,PIK3CA_mut,PIK3R1_mut,POLR2B_mut,PTEN_mut,SACS_mut,SMARCA4_mut,STAG2_mut,SVEP1_mut,TCF12_mut,TP53_mut,TRIO_mut,ZFP36L1_mut,cnaBRCA1,cnaBRCA10,cnaBRCA11,cnaBRCA12,cnaBRCA13,cnaBRCA14,cnaBRCA15,cnaBRCA16,cnaBRCA17,cnaBRCA18,cnaBRCA19,cnaBRCA2,cnaBRCA20,cnaBRCA21,cnaBRCA22,cnaBRCA23,cnaBRCA24,cnaBRCA25,cnaBRCA26,cnaBRCA27,cnaBRCA28,cnaBRCA29,cnaBRCA3,cnaBRCA30,cnaBRCA31,cnaBRCA32,cnaBRCA33,cnaBRCA34,cnaBRCA35,cnaBRCA36,cnaBRCA37,cnaBRCA38,cnaBRCA39,cnaBRCA4,cnaBRCA40,cnaBRCA41,cnaBRCA42,cnaBRCA43,cnaBRCA44,cnaBRCA45,cnaBRCA46,cnaBRCA47,cnaBRCA48,cnaBRCA49,cnaBRCA5,cnaBRCA50,cnaBRCA51,cnaBRCA52,cnaBRCA53,cnaBRCA54,cnaBRCA55,cnaBRCA56,cnaBRCA57,cnaBRCA58,cnaBRCA59,cnaBRCA6,cnaBRCA60,cnaBRCA61,cnaBRCA62,cnaBRCA63,cnaBRCA64,cnaBRCA65,cnaBRCA7,cnaBRCA8,cnaBRCA9
1004,MFM-223,910948,BRCA,breast,breast,-2.733275304821213,0.7884048950570596,0.1,0.09435136426930074,0.3485673385325622,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1004,CAL-148,924106,BRCA,breast,breast,-5.5701264979148055,0.5241439402605614,0.1,0.203003852932618,-0.9550357860065176,GDSC2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,MDA-MB-415,924240,BRCA,breast,breast,-3.868684316975077,0.739497236907169,0.1,0.18029774398996937,-0.17318111957374036,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1004,MDA-MB-157,925338,BRCA,breast,breast,-4.243681803122254,0.6843758453654687,0.1,0.1217631980389848,-0.3455017177869552,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,BT-474,946359,BRCA,breast,breast,-2.144026248974955,0.8404534903000777,0.1,0.16354537780523842,0.6193418198317451,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,CAMA-1,946382,BRCA,breast,breast,-2.0467918033780026,0.8966393218802866,0.1,0.1596052038383475,0.6640234469123627,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1004,BT-483,949093,BRCA,breast,breast,2.714518537743147,0.9594922860802586,0.1,0.07641722652538131,2.8519630373627067,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1004,MDA-MB-436,1240172,BRCA,breast,breast,-1.5511545091122731,0.893489131919498,0.1,0.05390866866467661,0.8917810138287686,GDSC2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,EFM-192A,1290798,BRCA,breast,breast,1.2033059505163275,0.983723428938238,0.1,0.04322866855024314,2.1575235632909786,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1004,HCC1428,1290905,BRCA,breast,breast,-0.7607612909502902,0.9036688301116016,0.1,0.21406554099684685,1.2549862010867052,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1004,HDQ-P1,1290922,BRCA,breast,breast,-2.4292918321682686,0.8468474147123805,0.1,0.1724014894891429,0.4882552452240943,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1004,JIMT-1,1298157,BRCA,breast,breast,-4.725272826521449,0.6308023529501153,0.1,0.1145914447177694,-0.5668046766385061,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1004,HCC1500,1303900,BRCA,breast,breast,-3.471361115414476,0.7792508296978462,0.1,0.12568781769772294,0.00939869577478446,GDSC2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
